"dates","titles","paragraphs"
"2020-06-09","삼성그룹, 이재용 영장 기각 소식에 동반 강세","삼성전자 부회장에 대해 삼성그룹 경영 지배권 강화 과정에서 불법을 저지른 혐의로 청구된 구속영장이 기각돼서다.  9일 오전 9시4분 현재 삼성물산은 전날보다 3000원(2.64%) 상승한 11만6500원에 거래되고 있다. 삼성바이오로직스도 같은 시간 1만6000원(2.41%) 오른 68만원을 기록 중이다.  삼성 전자 삼성중공업 삼성SDI 삼성생명 삼성전기 등도 1% 넘게 뛰고 있고, 제일기획 삼성에스디에스 삼성카드 삼성증권 삼성화재 삼성엔지니어링"
"2020-06-09","""이재용 부회장, 구속영장 기각…삼성전자 불확실성 해소 계기""","이재용 삼성전자 부회장의 구속영장 기각이 삼성전자 삼성바이오로직스 삼성물산의 불확실성의 해소하는 계기가 될 것이란 증권가의 분석이 나왔다.  간밤 서울중앙지법은 삼성그룹의 경영권 승계 의혹과 관련해 청구된 이 부회장의 구속영장을 ... 예상되지만, 1년8개월 장기간 수사 후의 영장 기각은 부담으로 작용할 것""이라며 ""이번 기각은 삼성그룹 경영권 부정 승계 의혹과 관련된 삼성 계열사의 불확실성을 해소하는 계기로 작용할 것""이라고 전망했다."
"2020-06-09","KB증권 ""이재용 구속영장 기각, 삼성전자 불확실성 해소 계기""","KB증권은 이재용 삼성전자 부회장에 대해 검찰이 청구한 구속영장이 법원에서 기각되면서 삼성전자 등 계열사를 둘러싼 불확실성이 상당 부분 해소될 것이라고 9일 평가했다.  김동원 연구원은 ""이 부회장은 구속영장 기각 이후 삼성그룹의 ... 바탕으로 적극적인 인수·합병(M&A)을 시도할 것으로 보인다""고 내다봤다.  그러면서 ""이번 구속영장 기각은 삼성전자, 삼성바이오로직스, 삼성물산 등 삼성그룹 경영권 부정 승계 의혹과 관련된 삼성 계열사의 불확실성을 해소하는 계기로"
"2020-06-09","구속 면한 이재용, ""늦게까지 고생하셨습니다"" 한마디 후 떠나","삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 의혹으로 구속 위기를 맞았던 이재용(52) 삼성전자 부회장이 9일 오전 2시 40분께 경기 의왕시 서울구치소 정문 밖으로 나왔다. 전날 오전 10시 30분께 구속 ... 제네시스 G90 승용차에 타고 곧바로 사라졌다.  이 부회장이 떠난 직후 함께 구속영장이 기각된 최지성(69) 옛 삼성 미래전략실장(부회장)과 김종중(64) 옛 미전실 전략팀장(사장)도 구치소 정문을 나와 준비된 차를 타고 떠났다."
"2020-06-09","검찰 ""이재용 영장기각 아쉽다"" vs 변호인단 ""혐의 소명 안돼""","삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 의혹을 받는 이재용 삼성전자 부회장(사진)이 구속을 면했다. 구속영장이 기각되자 검찰은 아쉬움을 나타냈다. 이 부회장 측은 기본적 사실관계 외에 범죄 혐의가 소명되지 않았다는 것이 법원의 취지임을 강조했다.  서울중앙지검은 9일 오전 2시께 이 부회장 등 삼성 전·현직 고위 임원 3명의 구속영장이 모두 기각된 직후 ""본 사안의 중대성, 지금까지 확보된 증거자료 등에"
"2020-06-09","[모닝브리핑]북한 ""모든 연락선 차단""… 나스닥 사상 최고","빨라질 수 있다는 기대감을 높였습니다.  이재용 구속 영장 기각, 법원 ""필요성 소명 부족""  삼성물산·제일모직 합병과 경영권 부정승계 의혹을 받는 이재용 삼성전자 부회장에 대해 검찰이 청구한 구속영장이 ... 감염증(코로나19)으로 위축된 개인 신용카드 사용액이 두 달 만에 회복세를 나타냈습니다. 카드업계에 따르면 신한·삼성카드 등 국내 8개 카드사의 지난달 개인 신용카드 승인금액은 45조1355억원이었습니다. 지난해 같은 달 보다 2.3%"
"2020-06-09","'이재용 관여·지시' 보강수사 불가피…수사심의위 주목","구속영장 기각에 수사 마무리 계획 차질…삼성 '반격' 가능성  법원이 9일 이재용(52) 삼성전자 부회장의 구속영장을 기각하면서, 1년 7개월을 이어온 검찰의 '삼성 합병·승계 의혹' 수사의 동력이 막판 크게 약화할 수 있다는 ... 시작됐다.  검찰은 분식회계와 이 부회장의 경영권 승계의 관련성에 초점을 맞추고 수사 범위를 넓혔다.  외관상 삼성바이오 분식회계 의혹에 대한 수사였지만 '삼성물산-제일모직 합병→삼성바이오 회계 변경→삼성바이오 상장'으로 이어진"
"2020-06-09","삼성 vs 검찰 '한밤의 무승부'…""재판 가서 다퉈라""","이재용 삼성전자 부회장(  사진  )이 구속을 면했다. ‘총수 공백’ 리스크를 피한 삼성은 안도의 한숨을 내쉬었다.  전날(8일) 이 부회장에 대한 영장실질심사를 진행한 원정숙 서울중앙지법 영장전담 부장판사는 ... 충분한 공방과 심리를 거쳐 결정하는 것이 타당하다고 판단된다”고 덧붙였다.  구속 필요성은 인정하지 않되 삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 혐의에 대해 검찰이 입증한 내용은 상당 부분 인정하고"
"2020-06-09","이재용 수사에 제동 건 법원…""구속 필요성 소명 부족""","보호해줄 필요가 있다는 점을 강조한 것으로 풀이된다.  이 부회장과 함께 구속 갈림길에 섰던 최지성(69) 옛 삼성 미래전략실 실장(부회장), 김종중(64) 옛 미전실 전략팀장(사장)도 모두 구속 위기에서 벗어나 검찰로선 1년 7개월을 ... 지배력을 높일 수 있게 회사 차원에서 조직적으로 계열사 합병과 분식회계를 계획하고 진행한 것으로 의심해왔다.  검찰은 삼성 측이 삼성물산과 제일모직 합병 과정에서 이 부회장에게 유리하게 합병 비율을 산정하고 주주들의 주식매수청구권 행사를"
"2020-06-09","총수 구속 면한 삼성, 준법경영 강화하나","삼성, 이재용 '대국민 사과' 이행에 적극 나설 듯  이재용 삼성전자 부회장에 대한 구속영장이 기각되며 삼성은 '총수 공백'을 면했다.  하지만 이번을 계기로 삼성 안팎에서는 준법경영을 강화해야 한다는 목소리가 커지고 있다.  ... 발전해왔다.  그룹 총수는 이 과정에서 계열사 전체를 총괄하는 역할을 해왔으나 에버랜드 전환사채 헐값발행, 이번 삼성물산-제일모직 합병 논란 등 불법 승계 의혹이 끊임없이 제기돼 왔다.  결국 불법 우려를 원천 차단하기 위한 이 부회장의"
"2020-06-09","구속 모면한 이재용 공격적인 경영 나설 듯","대국민 사과에서 밝힌 '뉴삼성'도 가속 전망  이재용 삼성전자 부회장이 경영권 승계 의혹과 관련해 구속을 면했지만 검찰의 기소가 유력한 데다 국정농단 사건 파기환송심도 진행 중이어서 사법 리스크에서 완전히 벗어나지는 못했다.  ... 관측된다.  삼성은 이미 국정농단 사건을 거치면서 정경유착, 부패 등 부정적 이미지를 씻기 위해 노력했으나 이번 삼성물산·제일모직 합병과 삼성바이오로직스 회계 의혹으로 여전히 사회의 시선은 싸늘하다.  이 부회장은 대국민 사과에서 경영권"
"2020-06-09","[속보] 법원, 이재용 구속영장 기각…삼성 최악은 면해","법원이 9일 이재용 삼성전자 부회장의 구속영장을 기각했다. 하지만 검찰이 수사를 통해 상당한 증거를 확보한 것으로 판단했다. 삼성은 2년4개월 만의 ‘총수 재구속’ 위기에서 기사회생했지만 남은 재판 과정에서 ... 이 부회장 측은 “불구속 상태에서 수사와 재판을 받게 돼 다행”이라며 “앞으로도 삼성물산과 제일모직이 합병하는 과정 등에서 불법 행위가 일절 없었다는 점 등을 성실히 규명해나가겠다”는 입장을"
"2020-06-09","이재용 구속영장 기각…법원 ""재판서 책임 가려야""(종합)","""기본적 사실관계 소명됐고 이미 상당 정도 증거 확보""  최지성·김종중도 기각  이재용(52) 삼성전자 부회장에 대해 검찰이 청구한 구속영장이 9일 법원에서 기각됐다.  국정농단 사건으로 구속됐다가 2018년 2월 집행유예 판결로 ... 청구했다.  이 부회장 등은 2015년 5월 이사회의 합병 결의 이후 호재성 정보를 집중적으로 띄워 제일모직과 삼성물산 주가를 동시에 부양하는 등 합병 전후 두 회사 주가를 조작한 혐의를 받는다.  검찰은 같은해 연말 삼성바이오로직스의"
"2020-06-09","'삼성 합병·승계 의혹' 사건 일지","다음은 .   2015년   5월 26일 = 삼성물산-제일모직 이사회에서 합병 결의 발표   7월 17일 = 삼성물산-제일모직 임시 주주총회 개최. 합병안 가결.   7월 17일~8월 6일 = 삼성물산·제일모직 주식매수청구권 행사 ...  11월 20일 = 증권선물위원회, 삼성바이오 분식회계 혐의로 검찰 고발   12월 10일 = 한국거래소, 삼성바이오 상장유지·주식 거래재개 결정   12월 13일 = 검찰, 삼성바이오·삼성물산 압수수색   2019년"
"2020-06-09","[상보] 이재용, 구속 피했다…""구속 필요성 입증 부족""","삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 의혹을 받는 이재용 삼성전자 부회장(  사진  )이 구속을 피했다.  원정숙 서울중앙지법 영장전담 부장판사는 9일 오전 2시경 자본시장법 위반(부정거래 및 시세조종 ... 판결로 풀려난 이 부회장은 2년4개월 만에 다시 수감될 위기에서 일단 벗어났다. 이 부회장과 함께 청구된 최지성 옛 삼성 미래전략실장(부회장), 김종중 옛 미전실 전략팀장(사장)의 구속영장도 모두 기각됐다.  원정숙 서울중앙지법 영장전담"
"2020-06-09","[속보] 이재용 부회장 구속영장 기각","삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 의혹을 받는 이재용 삼성전자 부회장(  사진  )이 구속을 피했다.  원정숙 서울중앙지법 영장전담 부장판사는 9일 새벽 자본시장법 위반(부정거래 및 시세조종 행위)과 외부감사법 위반 혐의를 받는 이 부회장에 대한 구속 영장을 기각했다.  배성수 한경닷컴 기자  baebae@hankyung.com"
"2020-06-09","[유가증권 기업공시] (8일) CJ CGV 등","CJ CGV=유동성 확보 및 재무구조 개선 위해 324억원 규모 CJ 베트남 지분 25% 전량 처분 결정.  아시아나항공=계열사 에어서울에 300억원 규모 운영자금 대여 결정.  대우조선해양=러시아에서 9000억원 규모 LNG 바지선 2척 수주.  삼성물산=7700억원 규모 삼성전자 평택사업장 마감공사 수주.  삼양식품=정태운·진종기 각자대표이사 체제 변경.  HDC현대EP=김명호 대표이사 직무대행 선임."
"2020-06-08","이재용 '마라톤' 구속심사…""최대 금융범죄"" vs ""불법아냐""","삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 의혹을 받는 이재용 삼성전자 부회장이 8일 8시간 30분에 걸쳐 구속 전 피의자 심문(영장실질심사)을 받았다.  검찰은 경영권 승계 과정에서 동원된 이 부회장의 시세조종과 ... 우려가 없다고 반박했다.  원정숙 서울중앙지법 영장전담 부장판사는 이날 오전 10시30분부터 이 부회장과 최지성 전 삼성 미래전략실 실장, 김종중 미전실 전략팀장의 영장실질심사를 했다. 이 부회장의 심문은 8시간30분만인 오후 7시께"
"2020-06-08","""사상 최대 금융범죄"" VS ""불법 없었다""…이재용 구속심사(종합3보)","주가조작·회계사기 혐의 8시간30분 공방…내일 새벽 구속 여부 결론  삼성 합병·승계를 둘러싼 의혹이 제기된 이재용(52) 삼성전자 부회장이 8일 8시간30분에 걸쳐 구속 전 피의자 심문(영장실질심사)을 받았다.  검찰은 경영권 ... 이날 법정에서 옛 미전실의 경영권 승계 작업 전반에 대한 계획을 담은 이른바 '프로젝트 G'를 비롯해 2015년 삼성물산-제일모직 합병 방안 등 불법 의혹이 제기된 현안을 이 부회장이 보고받은 물증을 제시했다.  검찰은 이 부회장의 경영권"
"2020-06-08","""사상 최대 금융범죄"" VS ""불법 없었다""…이재용 구속심사(종합2보)","주가조작·회계사기 혐의 8시간30분 공방  삼성 합병·승계를 둘러싼 의혹이 제기된 이재용(52) 삼성전자 부회장이 8일 8시간30분에 걸쳐 구속 전 피의자 심문(영장실질심사)을 받았다.  검찰은 경영권 승계 과정에서 동원된 이 ... 끝났다.  검찰은 옛 미전실의 경영권 승계 작업 전반에 대한 계획을 담은 이른바 '프로젝트 G'를 비롯해 2015년 삼성물산-제일모직 합병 방안 등 불법 의혹이 제기된 현안을 이 부회장이 보고받은 물증을 제시한 것으로 전해졌다.  검찰은"
"2020-06-08","이재용 영장실질심사 8시간30분 만에 종료…결과 자정 넘길 듯","역대 최장 심사 시간에 근접…최지성·김종중 심사 끝날 때까지 법원 대기  삼성물산-제일모직 합병과 경영권 승계 과정에서 각종 불법행위에 관여한 혐의를 받는 이재용(52) 삼성전자 부회장이 8시간 30분 동안 구속 전 피의자 ... 10시 30분부터 원정숙 서울중앙지법 영장전담 부장판사 심리로 열려 오후 7시께 종료됐다.  최지성(69) 옛 삼성 미래전략실 실장(부회장)과 김종중(64) 옛 미전실 전략팀장(사장)의 심사도 함께 진행됐다.  이 부회장은 심사"
"2020-06-08","[속보] 이재용 부회장 영장실질심사 8시간30분만에 종료","8일 종료됐다.  이 부회장의 심사는 이날 오후 7시께 종료됐다. 다만 이어 오후 7시15분께부터 최지성 전 삼성 미래전략실 팀장, 김종중 전 미전실 전략팀장에 대한 심사는 진행되고 있어 이 부회장은 법정에서 대기하고 있다.  ... '검찰수사심의위원회 소집 신청' 카드를 요청한지 이틀만이었다.  검찰은 지난 2015년 제일모직과 삼성물산 합병과 삼성바이오로직스 분식 회계를 경영권 승계 작업으로 보고 이들이 깊게 가담했다고 의심하고 있다.  이 부회장의"
"2020-06-08","[팩트체크] 과거 이재용 구속때 삼성주가 올랐다?","있는 이재용(52) 삼성전자 부회장의 구속 여부가 이르면 8일중 결정될 예정인 가운데, 인터넷상에는 그의 구속과 삼성 주가의 상관관계에 대해 언급한 글들이 적지 않게 올라와 있다.  눈에 띄는 것은 이재용 부회장 구속이 주가 상승으로 ... 주가는 대체로 하락세를 보였고 전체 국내 증시를 반영한 코스피 지수도 약보합세를 기록했다.  2017년 2월 17일 삼성전자 주식 종가는 전 거래일 대비 0.42%, 삼성물산은 1.98%, 삼성생명은 1.40%, 삼성카드는 1.67%,"
"2020-06-08","삼성 ""이재용 부회장이 합병 지시했다는  주장, 상식 밖""","불법 경영권 승계 의혹을 받고 있는 이재용 삼성전자 부회장의 구속 여부를 놓고 검찰과 이 부회장 측 변호인단이 8일 치열한 법리공방을 펼쳤다. 이날 오전 10시30분 시작된 이 부회장의 영장실질심사(구속 전 피의자 심문)는 무려 ... 혐의를 전면 부인하고 있는 만큼 불구속 시 증거 인멸을 시도할 우려가 있다는 논리도 폈다.  검찰은 이 부회장이 삼성그룹 경영권 승계를 위해 합병 당시 삼성물산의 가치를 일부러 떨어뜨리고, 제일모직 가치를 의도적으로 부풀렸다고 보고"
"2020-06-08","삼성그룹 주가-이재용 구속여부 함수관계는?(종합)","2017년 영장 실질심사 결과 전후에 삼성전자 주가 별다른 변동  증권팀 = 8일 유가증권시장에서 삼성그룹 대표 종목들이 강하게 상승 출발했다가 일제히 상승 폭이 줄어들거나, 약세로 전환했다.  이날 이재용 삼성전자 부회장의 ... 11거래일만의 하락이다.  삼성전자는 1.62% 오른 채 출발했으나, 이후 하락세로 전환한 뒤 약세로 장을 마쳤다.  삼성바이오로직스도 0.15% 하락 마감했고, 삼성물산은 2.68%까지 올랐다가 상승 폭이 1.34%로 줄어들었다.  삼성그룹"
"2020-06-08","이재용 6시간째 구속심사…""지시·보고 입증"" VS ""불법 없다""(종합)","검찰-변호인단, 주가조작·회계사기 혐의 공방  삼성 경영권 승계 과정에서 각종 불법행위에 관여한 혐의를 받는 이재용(52) 삼성전자 부회장이 8일 오후 현재 6시간 넘게 구속 전 피의자 심문(영장실질심사)을 받고 있다.  검찰은 ... 위해 합병 전후 각종 불법행위를 동원했다는 이 부회장의 범죄 혐의를 재판부가 얼마나 인정할지도 관건이다.  검찰은 삼성 측이 제일모직 주가를 끌어올리고 삼성물산 주가는 떨어뜨려 제일모직 지분만 23.2% 보유한 이 부회장에게 유리한"
"2020-06-08","삼성물산 수주공시 - [평택 P2L 하층서편] FAB동 마감공사 7,700억원 (매출액대비 2.50%)","06월 08일 삼성물산(028260)은 수주공시를 발표했다.    삼성물산 수주공시 개요  - [평택 P2L 하층서편] FAB동 마감공사 7,700억원 (매출액대비 2.50%)  삼성물산(028260)은 [평택 P2L 하층서편] FAB동 마감공사에 관한 단일판매ㆍ공급계약체결을 08일에 공시했다.  계약 상대방은 삼성전자 주식회사이고, 계약금액은 7,700억원 규모로 최근 삼성물산 매출액 30.76조 대비 약 2.50% 수준이다. 이번 계약의 기간은"
"2020-06-08","민변·참여연대 ""삼성 부당합병 이재용 탐욕서 비롯…엄중처벌""","삼성 경영권 승계 과정에서 각종 불법행위에 관여한 혐의로 구속영장이 청구된 이재용 삼성전자 부회장에 대한 구속심사가 8일 법원에서 진행 중인 가운데 시민단체들이 이 부회장에 대한 엄벌을 촉구했다.  민주사회를 위한 변호사모임(민변)과 ... 대해 엄중한 처벌이 불가피하다""고 주장했다.  민변 부회장을 지낸 김남근 참여연대 정책위원은 ""삼성물산 합병 과정에서 삼성은 이 부회장에게 유리한 합병 비율을 맞추기 위해 삼성바이오의 회계를 조작하는 한편 관련 증거를"
"2020-06-08","이재용 부회장, 세 번째 구속 갈림길서 '침묵'","법률 위반 등의 혐의를 받는 이 부회장의 영장실질심사를 진행했다. 원 부장판사는 이날 이 부회장 외에도 최지성 옛 삼성 미래전략실장(부회장)과 김종중 옛 미전실 전략팀장(사장)에 대한 구속 필요성도 심리했다.  이 부회장이 받은 영장실질심사는 ... 있는 이복현 부장검사와 이 부회장 측 변호인인 한승 전 법원장 등이 모습을 보이기도 했다.  검찰은 2015년 삼성물산·제일모직 합병과 삼성바이오로직스의 회계 변경에 이르는 모든 과정이 이 부회장의 안정적인 경영권 승계를"
"2020-06-08","'청량리 재개발'로 기대감 상승…이문1구역 11월 분양 예정","따르면 현재 50% 정도 철거가 이뤄진 상황이다. 2017년 관리 처분 인가가 끝난 후 대부분의 주민들은 이전을 끝마쳤지만 아직 4개의 상가들이 보상금 관련 협상을 완료하지 않아 철거가 다소 지체되고 있다는 후문이다. 이문1구역은 삼성물산이 수주했고 총 3071가구가 입주할 예정이다.  2018년 5월 관리 처분 계획 인가를 받은 이문3구역은 국내 최초의 '결합 재개발 방식'을 택했다. 외대앞역에 자리한 3-1구역과 경희대와 한국예술종합학교 사이에 있는 3-2구역으로"
"2020-06-08","이재용 삼성전자 부회장 등 구속심사 위해 법원 출석","삼성물산-제일모직 합병과 경영권 승계 과정을 둘러싼 의혹으로 검찰 수사를 받는 이재용 삼성전자 부회장과 최지성 삼성 옛 미래전략실 전 실장(부회장), 김종중 전 미래전략실 전략팀장이 8일 오전 서울 서초동 서울중앙지법에 구속 전 피의자 심문(영장실질심사)을 위해 출석 하고 있다.  허문찬 기자 sweat@hankyung.com"
"2020-06-08","또 다시 구속 기로에 선 이재용 삼성전자 부회장","삼성물산-제일모직 합병과 경영권 승계 과정을 둘러싼 의혹으로 검찰 수사를 받는 이재용 삼성전자 부회장이 8일 오전 서울 서초동 서울중앙지법에 구속 전 피의자 심문(영장실질심사)을 위해 출석 하고 있다.  허문찬 기자 sweat@hankyung.com"
"2020-06-08","삼성그룹 주가-이재용 구속여부 함수관계는?","2017년 영장 실질심사 결과 전후에 삼성전자 별다른 변동  증권팀 = 8일 유가증권시장에서 삼성그룹 대표 종목들이 강하게 상승 출발했다가 일제히 상승 폭이 줄어들거나, 약세로 전환했다.  이날은 이재용 삼성전자 부회장의 구속영장 ... 일각에서 나온다.  이날 오전 10시 30분 현재 삼성전자는 전 거래일보다 0.36% 내린 수준에서 거래됐다.  삼성전자는 1.62% 오른 채 출발했으나, 이후 하락세로 전환했다.  삼성바이오로직스도 1.80% 하락해 거래됐고, 삼성물산은"
"2020-06-08","이재용 영장심사 출석…영장 발부 or 기각, 법원의 판단은 [승재현의 사이다]","이재용(52) 삼성전자 부회장이 국정농단 사건 항소심에서 집행유예를 선고받고 석방된 뒤 2년 4개월 만에 다시 구속 갈림길에 선다. 이 부회장은 삼성그룹의 경영권 부정 승계 의혹으로 검찰에 수사를 받아왔다.  서울중앙지법 원정숙 ... 동안 110여명에 대한 430여건의 소환조사, 50여건의 달하는 압수수색을 한 검찰 수사, 구속영장 청구 시점, 삼성물산과 제일모직 합병과정 불법성, 삼성바이오로직스 회계처리 적법성, 구속영장 발부 가능성 등을 두고 많은 이야기가 나오고"
"2020-06-08","HK영상|이재용 삼성전자 부회장...침묵 속 영장실질심사 출석","삼성물산 합병 등 경영권 승계 의혹으로 구속영장이 청구된 이재용 삼성전자 부회장이 8일 오전 구속 전 피의자 심문(구속영장 실질심사)을 받기 위해 서울 서초동 서울중앙지법으로 출석하고 있다.  조상현 한경닷컴 기자  doyttt@hankyung.com  기사제보 및 보도자료  newsinfo@hankyung.com"
"2020-06-08","[포토] 구속 기로에 선 이재용","삼성물산 합병 등 경영권 승계 의혹으로 구속영장이 청구된 이재용 삼성전자 부회장이 8일 오전 구속 전 피의자심문(영장실질심사)을 받기 위해 서울 서초동 서울중앙지법으로 출석하고 있다.  최혁 한경닷컴 기자  chokob@hankyung.com  기사제보 및 보도자료  newsinfo@hankyung.com"
"2020-06-08","[포토] 구속 전 피의자 심문 출석하는 이재용","삼성물산 합병 등 경영권 승계 의혹으로 구속영장이 청구된 이재용 삼성전자 부회장이 8일 오전 구속 전 피의자심문(영장실질심사)을 받기 위해 서울 서초동 서울중앙지법으로 출석하고 있다.  최혁 한경닷컴 기자  chokob@hankyung.com  기사제보 및 보도자료  newsinfo@hankyung.com"
"2020-06-08","[포토] 구속의 기로에 선 이재용","삼성물산 합병 등 경영권 승계 의혹으로 구속영장이 청구된 이재용 삼성전자 부회장이 8일 오전 구속 전 피의자심문(영장실질심사)을 받기 위해 서울 서초동 서울중앙지법으로 출석하고 있다.  최혁 한경닷컴 기자  chokob@hankyung.com  기사제보 및 보도자료  newsinfo@hankyung.com"
